"","famN","yearOfBirth","yearOfDeath","sex","mother_id","father_id","anoinicio","origem_desc","district_ori","county_ori","ori_long","ori_lat","res_desc","district_res","county_res","res_long","res_lat"
"54","681","1896",NA,"unknown",NA,NA,"1930","C BRANCO                       COVILHÃ","C BRANCO","COVILHÃ","-7.5043272","40.2805633","VIANA DO CASTELO              VILA NOVA DE CERVEIRA","VIANA DO CASTELO","VILA NOVA DE CERVEIRA","-8.7408025","41.9428454"
"55","930","1968",NA,"unknown",NA,NA,"1995","COIMBRA                        COIMBRA","COIMBRA","COIMBRA","-8.4102573","40.2033145","AVEIRO                        AVEIRO","AVEIRO","AVEIRO","-8.6537539","40.6405055"
"56","723","1982",NA,"unknown",NA,NA,"2018","PORTO                          PAREDES","PORTO","PAREDES","-8.3303867","41.2051674","AVEIRO                        OLIVEIRA DE AZEMEIS","AVEIRO","OLIVEIRA DE AZEMEIS","-8.4769763","40.8387294"
"57","403","1957",NA,"unknown",NA,NA,"1990","COIMBRA                        PAMPILHOSA DA SERRA","COIMBRA","PAMPILHOSA DA SERRA","-7.9519961","40.0460146","FARO                          LOULE","FARO","LOULE","-8.020216","37.1379187"
"58","454","1971",NA,"unknown",NA,NA,"2008","SANTAREM                       OUREM","SANTAREM","OUREM","-8.5773408","39.6564974","LEIRIA                        FIGUEIRO DOS VINHOS","LEIRIA","FIGUEIRO DOS VINHOS","-8.2801574","39.8993771"
"59","852","1909",NA,"female",NA,NA,"1930","LISBOA                         TORRES VEDRAS","LISBOA","TORRES VEDRAS","-9.2600341","39.0917759","LISBOA                        LOURINHÃ","LISBOA","LOURINHÃ","-9.3129511","39.2414853"
"60","705","1877",NA,"male",NA,NA,"1902","VIANA DO CASTELO               MONÇÃO","VIANA DO CASTELO","MONÇÃO","-8.48168647798729","42.0773036128971","LEIRIA                        ALCOBAÇA","LEIRIA","ALCOBAÇA","-8.9796492","39.548667"
"61","1","1920",NA,"unknown",NA,NA,"1951","C BRANCO                       BELMONTE","C BRANCO","BELMONTE","-7.3408535","40.351063","AVEIRO                        ILHAVO","AVEIRO","ILHAVO","-8.672371","40.602309"
"62","148","1991",NA,"male",NA,NA,"2014","LISBOA                         TORRES VEDRAS","LISBOA","TORRES VEDRAS","-9.2600341","39.0917759","SANTAREM                      SALVATERRA DE MAGOS","SANTAREM","SALVATERRA DE MAGOS","-8.794182","39.0272019"
"63","253","1905",NA,"unknown",NA,NA,"1945","VISEU                          MORTAGUA","VISEU","MORTAGUA","-8.2325058","40.3968539","AVEIRO                        ALBERGARIA-A-VELHA","AVEIRO","ALBERGARIA-A-VELHA","-8.4796655","40.6894236"
"64","271","1931",NA,"unknown",NA,NA,"1969","PORTO                          POVOA DE VARZIM","PORTO","POVOA DE VARZIM","-8.7609294","41.3803685","VIANA DO CASTELO              VALENÇA","VIANA DO CASTELO","VALENÇA","-8.64236643582249","42.0274675841917"
"65","406","1913",NA,"unknown",NA,NA,"1951","SANTAREM                       OUREM","SANTAREM","OUREM","-8.5773408","39.6564974","BRAGA                         VILA VERDE","BRAGA","VILA VERDE","-8.4332813","41.6507161"
"66","673","1871",NA,"female",NA,NA,"1911","VIANA DO CASTELO               CAMINHA","VIANA DO CASTELO","CAMINHA","-8.8378454","41.8732082","AVEIRO                        SEVER DO VOUGA","AVEIRO","SEVER DO VOUGA","-8.3717672","40.7334189"
"67","48","1906",NA,"unknown",NA,NA,"1934","AVEIRO                         OVAR","AVEIRO","OVAR","-8.6253313","40.8596399","PORTO                         PORTO","PORTO","PORTO","-8.6291053","41.1579438"
"68","308","1919",NA,"female",NA,NA,"1952","PORTALEGRE                     AVIS","PORTALEGRE","AVIS","-7.4324129","39.2992955","COIMBRA                       COIMBRA","COIMBRA","COIMBRA","-8.4102573","40.2033145"
"69","505","1975",NA,"male",NA,NA,"1999","C BRANCO                       PENAMACOR","C BRANCO","PENAMACOR","-7.1714925","40.169313","VIANA DO CASTELO              ARCOS DE VALDEVEZ","VIANA DO CASTELO","ARCOS DE VALDEVEZ","-8.41885767651288","41.8468116541516"
"70","371","1895",NA,"unknown",NA,NA,"1924","C BRANCO                       COVILHÃ","C BRANCO","COVILHÃ","-7.5043272","40.2805633","COIMBRA                       GOIS","COIMBRA","GOIS","-8.1106319","40.155204"
"71","804","1998",NA,"female",NA,NA,"2031","COIMBRA                        PAMPILHOSA DA SERRA","COIMBRA","PAMPILHOSA DA SERRA","-7.9519961","40.0460146","PORTO                         TROFA","PORTO","TROFA","-8.5599893","41.3390535"
"72","738","1973",NA,"female",NA,NA,"2008","AVEIRO                         ANADIA","AVEIRO","ANADIA","-8.4354306","40.4409572","VIANA DO CASTELO              PONTE DA BARCA","VIANA DO CASTELO","PONTE DA BARCA","-8.41641271603104","41.8064160978201"
"73","37","2001",NA,"unknown",NA,NA,"2037","AVEIRO                         MURTOSA","AVEIRO","MURTOSA","-8.6399173","40.7370493","BRAGANCA                      MIRANDELA","BRAGANCA","MIRANDELA","-7.1808711","41.4853545"
"74","763","1994",NA,"female",NA,NA,"2020","AVEIRO                         OLIVEIRA DO BAIRRO","AVEIRO","OLIVEIRA DO BAIRRO","-8.498208","40.5170209","BRAGA                         AMARES","BRAGA","AMARES","-8.349917","41.6336322"
"75","880","1921",NA,"female",NA,NA,"1947","SETUBAL                        ALMADA","SETUBAL","ALMADA","-9.1651047","38.6765238","LISBOA                        SINTRA","LISBOA","SINTRA","-9.3816589","38.8028687"
"76","525","1908",NA,"male",NA,NA,"1948","SETUBAL                        MONTIJO","SETUBAL","MONTIJO","-8.9741183","38.7055652","PORTO                         TROFA","PORTO","TROFA","-8.5599893","41.3390535"
"77","484","1929",NA,"female",NA,NA,"1960","COIMBRA                        COIMBRA","COIMBRA","COIMBRA","-8.4102573","40.2033145","PORTO                         VILA NOVA DE GAIA","PORTO","VILA NOVA DE GAIA","-8.6117851","41.1238759"
"78","510","1918",NA,"male",NA,NA,"1945","COIMBRA                        TABUA","COIMBRA","TABUA","-8.0282218","40.3617145","LEIRIA                        ALCOBAÇA","LEIRIA","ALCOBAÇA","-8.9796492","39.548667"
"79","921","1954",NA,"female",NA,NA,"1982","LISBOA                         LISBOA","LISBOA","LISBOA","-9.1393366","38.7222524","PORTO                         SANTO TIRSO","PORTO","SANTO TIRSO","-8.4738078","41.3431376"
"80","730","1877",NA,"male",NA,NA,"1906","PORTO                          GONDOMAR","PORTO","GONDOMAR","-8.5291423","41.1395599","VIANA DO CASTELO              PONTE DE LIMA","VIANA DO CASTELO","PONTE DE LIMA","-8.58287279610424","41.7654677847047"
"81","587","1910",NA,"female",NA,NA,"1932","LEIRIA                         LEIRIA","LEIRIA","LEIRIA","-8.807683","39.7495331",NA,NA,NA,NA,NA
"82","470","1947",NA,"female",NA,NA,"1985","SANTAREM                       ALPIARÇA","SANTAREM","ALPIARÇA","-8.5820055","39.2591889","AVEIRO                        AVEIRO","AVEIRO","AVEIRO","-8.6537539","40.6405055"
"83","415","1976",NA,"unknown",NA,NA,"2015","LEIRIA                         ANSIÃO","LEIRIA","ANSIÃO","-8.43851","39.9107177","PORTO                         PAREDES","PORTO","PAREDES","-8.3303867","41.2051674"
"84","384","1927",NA,"female",NA,NA,"1954","AVEIRO                         ESTARREJA","AVEIRO","ESTARREJA","-8.5709856","40.7528385","SETUBAL                       MONTIJO","SETUBAL","MONTIJO","-8.9741183","38.7055652"
"85","322","1923",NA,"female",NA,NA,"1960","C BRANCO                       FUNDÃO","C BRANCO","FUNDÃO","-7.501078","40.1380138","VISEU                         LAMEGO","VISEU","LAMEGO","-7.8123805","41.0953745"
"86","765","1922",NA,"female",NA,NA,"1950","VISEU                          CINFÃES","VISEU","CINFÃES","-8.0898477","41.071713","PORTO                         SANTO TIRSO","PORTO","SANTO TIRSO","-8.4738078","41.3431376"
"87","774","1996",NA,"male",NA,NA,"2024","LEIRIA                         ANSIÃO","LEIRIA","ANSIÃO","-8.43851","39.9107177","LISBOA                        LOURES","LISBOA","LOURES","-9.1741095","38.831549"
"88","57","1920",NA,"unknown",NA,NA,"1958","VISEU                          SATÃO","VISEU","SATÃO","-7.7321201","40.7423572","AVEIRO                        ANADIA","AVEIRO","ANADIA","-8.4354306","40.4409572"
"89","39","1994",NA,"female",NA,NA,"2017","C BRANCO                       CASTELO BRANCO","C BRANCO","CASTELO BRANCO","-7.4875687","39.8214511","FARO                          LAGOS","FARO","LAGOS","-8.6730275","37.1027881"
"90","929","1946",NA,"male",NA,NA,"1983","VISEU                          MORTAGUA","VISEU","MORTAGUA","-8.2325058","40.3968539","AVEIRO                        OLIVEIRA DE AZEMEIS","AVEIRO","OLIVEIRA DE AZEMEIS","-8.4769763","40.8387294"
"91","85","1996",NA,"female",NA,NA,"2019","AVEIRO                         ILHAVO","AVEIRO","ILHAVO","-8.672371","40.602309","VISEU                         NELAS","VISEU","NELAS","-7.8498679","40.537787"
"92","898","1896",NA,"female",NA,NA,"1925","PORTALEGRE                     AVIS","PORTALEGRE","AVIS","-7.4324129","39.2992955","COIMBRA                       SOURE","COIMBRA","SOURE","-8.6218634","40.0604197"
"93","884","1981",NA,"unknown",NA,NA,"2011","VILA REAL                      MESÃO FRIO","VILA REAL","MESÃO FRIO","-7.8899228","41.1598648","C BRANCO                      BELMONTE","C BRANCO","BELMONTE","-7.3408535","40.351063"
"94","780","1979",NA,"male",NA,NA,"2015","VISEU                          NELAS","VISEU","NELAS","-7.8498679","40.537787","C BRANCO                      FUNDÃO","C BRANCO","FUNDÃO","-7.501078","40.1380138"
"95","124","1892",NA,"unknown",NA,NA,"1916","BRAGA                          AMARES","BRAGA","AMARES","-8.349917","41.6336322","VIANA DO CASTELO              VIANA DO CASTELO","VIANA DO CASTELO","VIANA DO CASTELO","-8.8344101","41.6918275"
"96","225","1991",NA,"male",NA,NA,"2021","VISEU                          SANTA COMBA DÃO","VISEU","SANTA COMBA DÃO","-8.1502433","40.3930591","BRAGA                         BRAGA","BRAGA","BRAGA","-8.426507","41.5454486"
"97","72","1907",NA,"female",NA,NA,"1933","LISBOA                         AZAMBUJA","LISBOA","AZAMBUJA","-8.8692915","39.0696027","SETUBAL                       MONTIJO","SETUBAL","MONTIJO","-8.9741183","38.7055652"
"98","449","1898",NA,"male",NA,NA,"1919","AVEIRO                         ALBERGARIA-A-VELHA","AVEIRO","ALBERGARIA-A-VELHA","-8.4796655","40.6894236","VILA REAL                     SABROSA","VILA REAL","SABROSA","-7.5755135","41.266132"
"99","469","1975",NA,"unknown",NA,NA,"2000","SETUBAL                        MONTIJO","SETUBAL","MONTIJO","-8.9741183","38.7055652","PORTO                         MARCO DE CANAVESES","PORTO","MARCO DE CANAVESES","-8.1477551","41.1845043"
"100","771","1919",NA,"unknown",NA,NA,"1939","SETUBAL                        MONTIJO","SETUBAL","MONTIJO","-8.9741183","38.7055652","COIMBRA                       FIGUEIRA DA FOZ","COIMBRA","FIGUEIRA DA FOZ","-8.857583","40.1521398"
"101","635","1919",NA,"male",NA,NA,"1956","LEIRIA                         LEIRIA","LEIRIA","LEIRIA","-8.807683","39.7495331","LEIRIA                        MARINHA GRANDE","LEIRIA","MARINHA GRANDE","-8.9318059","39.7503802"
"102","193","1918",NA,"unknown",NA,NA,"1948","BRAGA                          TERRAS DE BOURO","BRAGA","TERRAS DE BOURO","-8.3062444","41.7167409","LISBOA                        AZAMBUJA","LISBOA","AZAMBUJA","-8.8692915","39.0696027"
"103","971","1925",NA,"female",NA,NA,"1954","GUARDA                         MEDA","GUARDA","MEDA","-7.2595951","40.9670544","SETUBAL                       ALCOCHETE","SETUBAL","ALCOCHETE","-8.9628696","38.7562753"
"104","228","1977",NA,"female",NA,NA,"2011","VISEU                          CARREGAL DO SAL","VISEU","CARREGAL DO SAL","-7.9980002","40.4347784","AVEIRO                        VALE DE CAMBRA","AVEIRO","VALE DE CAMBRA","-8.3956168","40.8429643"
"105","696","1979",NA,"female",NA,NA,"1999","BRAGA                          GUIMARÃES","BRAGA","GUIMARÃES","-8.426507","41.5454486","VIANA DO CASTELO              PAREDES DE COURA","VIANA DO CASTELO","PAREDES DE COURA","-8.5614589","41.9130455"
"106","856","1956",NA,"unknown",NA,NA,"1980","PORTO                          SANTO TIRSO","PORTO","SANTO TIRSO","-8.4738078","41.3431376","PORTO                         VALONGO","PORTO","VALONGO","-8.498352","41.1887594"
"107","302","1888",NA,"female",NA,NA,"1916","VISEU                          CINFÃES","VISEU","CINFÃES","-8.0898477","41.071713","LEIRIA                        ANSIÃO","LEIRIA","ANSIÃO","-8.43851","39.9107177"
"108","12","1962",NA,"unknown",NA,NA,"1994","LEIRIA                         BOMBARRAL","LEIRIA","BOMBARRAL","-9.1580682","39.2682645","C BRANCO                      PENAMACOR","C BRANCO","PENAMACOR","-7.1714925","40.169313"
"109","780","1976",NA,"female",NA,NA,"2003","SANTAREM                       ALPIARÇA","SANTAREM","ALPIARÇA","-8.5820055","39.2591889","VISEU                         VOUZELA","VISEU","VOUZELA","-8.1120232","40.7231807"
"110","924","1887",NA,"female",NA,NA,"1921","AVEIRO                         ANADIA","AVEIRO","ANADIA","-8.4354306","40.4409572","BRAGA                         FAFE","BRAGA","FAFE","-8.1728619","41.4508217"
"111","562","1917",NA,"unknown",NA,NA,"1941","SETUBAL                        ALMADA","SETUBAL","ALMADA","-9.1651047","38.6765238","LISBOA                        MAFRA","LISBOA","MAFRA","-9.3320856","38.9443106"
"112","7","2006",NA,"female",NA,NA,"2029","VISEU                          TAROUCA","VISEU","TAROUCA","-7.7750036","41.0174461",NA,NA,NA,NA,NA
"113","736","1876",NA,"unknown",NA,NA,"1897","PORTO                          MARCO DE CANAVESES","PORTO","MARCO DE CANAVESES","-8.1477551","41.1845043","VILA REAL                     MONTALEGRE","VILA REAL","MONTALEGRE","-7.7878704","41.82663"
"114","44","1995",NA,"unknown",NA,NA,"2035","BRAGA                          ESPOSENDE","BRAGA","ESPOSENDE","-8.7805652","41.5309169","VISEU                         LAMEGO","VISEU","LAMEGO","-7.8123805","41.0953745"
"115","388","1892",NA,"male",NA,NA,"1923","PORTO                          MARCO DE CANAVESES","PORTO","MARCO DE CANAVESES","-8.1477551","41.1845043","LISBOA                        ODIVELAS","LISBOA","ODIVELAS","-9.18518","38.795369"
"116","923","1925",NA,"female",NA,NA,"1955","BRAGA                          VILA VERDE","BRAGA","VILA VERDE","-8.4332813","41.6507161","AVEIRO                        MEALHADA","AVEIRO","MEALHADA","-8.4534853","40.3784627"
"117","462","1920",NA,"unknown",NA,NA,"1960","VIANA DO CASTELO               VALENÇA","VIANA DO CASTELO","VALENÇA","-8.64236643582249","42.0274675841917","SETUBAL                       BARREIRO","SETUBAL","BARREIRO","-9.0790724","38.6608149"
"118","557","1983",NA,"female",NA,NA,"2012","COIMBRA                        COIMBRA","COIMBRA","COIMBRA","-8.4102573","40.2033145","SETUBAL                       ALCOCHETE","SETUBAL","ALCOCHETE","-8.9628696","38.7562753"
"119","946","1900",NA,"unknown",NA,NA,"1935","PORTO                          PORTO","PORTO","PORTO","-8.6291053","41.1579438","AVEIRO                        MURTOSA","AVEIRO","MURTOSA","-8.6399173","40.7370493"
"120","705","1953",NA,"unknown",NA,NA,"1987","GUARDA                         VILA NOVA DE FOZ COA","GUARDA","VILA NOVA DE FOZ COA","-7.1403598","41.0822466","LISBOA                        ODIVELAS","LISBOA","ODIVELAS","-9.18518","38.795369"
